conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,1,0,1,99.86,425000.0,170.0,2,425000.0,1,1,0,0
1,0,39,0,0,0,75.0,225000.0,9.0,18,165000.0,1,1,0,0
1,0,39,0,0,2,101.62,215000.0,64.0,5,215000.0,0,4,0,0
1,0,39,0,0,0,108.08,225000.0,71.0,2,245000.0,0,4,0,0
1,0,39,0,0,0,75.0,165000.0,0.0,18,125000.0,1,1,0,0
1,0,39,0,0,1,75.0,445000.0,39.0,19,325000.0,0,4,1,0
1,0,39,0,0,0,105.44,145000.0,54.0,8,155000.0,1,4,0,0
1,0,39,0,0,0,80.0,355000.0,0.0,18,285000.0,1,1,0,0
1,0,39,0,0,2,75.0,215000.0,6.0,19,165000.0,0,4,1,0
1,0,39,0,0,2,96.5,145000.0,35.0,19,145000.0,1,2,0,0
1,0,39,0,0,1,97.18,455000.0,88.0,17,425000.0,1,4,0,0
1,0,39,0,0,2,95.0,205000.0,51.0,19,195000.0,1,2,0,0
1,0,39,1,0,1,81.87,345000.0,86.0,3,285000.0,1,1,0,0
1,0,39,0,0,1,95.0,315000.0,65.0,17,285000.0,0,4,0,0
1,0,14,0,0,1,85.0,215000.0,67.0,19,185000.0,0,4,0,0
1,0,39,0,0,6,96.5,215000.0,48.0,17,215000.0,1,4,0,0
1,0,39,0,0,0,97.0,275000.0,48.0,17,265000.0,0,5,0,0
1,0,39,0,0,0,96.5,265000.0,49.0,17,255000.0,1,4,0,0
1,0,39,0,0,2,82.64,265000.0,51.0,19,215000.0,0,4,0,0
1,0,39,1,0,2,97.0,285000.0,78.0,4,275000.0,1,4,0,0
1,0,39,0,0,2,80.0,305000.0,52.0,17,245000.0,1,4,0,0
1,0,39,0,0,2,98.09,185000.0,68.0,17,185000.0,1,4,1,0
1,0,39,0,0,1,97.0,205000.0,46.0,10,195000.0,0,4,0,0
1,0,39,0,0,1,91.3,85000.0,33.0,14,75000.0,1,2,0,0
1,0,39,1,0,2,96.5,275000.0,0.0,18,265000.0,2,5,0,0
1,0,39,0,0,0,95.83,705000.0,239.0,1,525000.0,1,4,1,0
1,0,39,0,0,1,98.15,115000.0,35.0,17,75000.0,1,2,1,0
1,0,39,0,0,2,111.55,105000.0,38.0,7,115000.0,1,2,1,0
1,0,39,0,0,1,75.0,505000.0,42.0,19,375000.0,1,4,0,0
1,0,39,0,0,1,97.62,175000.0,48.0,17,175000.0,1,4,0,0
1,0,39,0,0,1,31.85,785000.0,67.0,17,255000.0,2,1,1,0
1,0,39,0,0,0,96.5,145000.0,62.0,1,145000.0,1,4,0,0
1,0,39,0,0,1,97.0,255000.0,45.0,19,245000.0,0,4,0,0
1,0,39,1,0,1,73.89,365000.0,42.0,17,265000.0,1,1,0,0
2,0,39,5,0,2,79.31,875000.0,131.0,16,695000.0,1,4,0,0
1,0,39,0,0,0,108.47,125000.0,35.0,11,145000.0,0,4,0,0
1,0,39,0,0,0,100.0,215000.0,74.0,17,215000.0,1,2,0,0
1,0,39,0,0,6,96.5,145000.0,43.0,17,145000.0,1,2,1,0
1,0,39,0,0,1,101.95,175000.0,58.0,1,185000.0,1,4,0,0
